"jobid","education","programming languages","databases","platforms","misc tools","web frameworks","environments","workflow management","testing software","visualization software"
2788612841,unknown,processing c++ java r python,,,tensorflow hadoop torch machine_learning,,,,,
3262900504,Bachelors,java shell,oracle sql,,bi hadoop spark etl,,,,,tableau
2793753598,unknown,c++,oracle sql,,,,,,,
2794389293,unknown,d java r,,android,,,intellij,jira,,
2798354720,Bachelors,ruby php javascript java scala clojure python,mysql sql redis dynamodb elasticsearch,aws,spark,ruby_on_rails,,,,
2801534075,unknown,c++ scheme java,,ibm,,,,,,
2802182731,unknown,,,aws,,,,,jenkins,
2802946082,Bachelors,matlab,,,,,,,,
2803582781,unknown,puppet,,azure linux google_cloud windows docker aws kubernetes,chef ansible,,,,,
2804188859,Bachelors,rich ruby java r python,sql,,chef,,,,jenkins,
2804622698,unknown,cmake d c c++,,linux,,,,,,
2805035433,unknown,r python,sql,,,,,,,
2805499100,unknown,scheme,,,,,,,,
2805741309,Masters,r python,sql microsoft_sql_server,,etl,,,,,
2805810450,unknown,c swift,,ios android,machine_learning,,,,,
2805815750,unknown,c swift,,ios android,machine_learning,,,,,
2806989752,unknown,html,,,,,,,,
2812180334,unknown,c c++ clojure kotlin java vue python,,ios android gcp azure aws,react,django angular,,,,
2812193907,unknown,processing d r python,sql,,tensorflow hadoop spark machine_learning,,,,,
2813854557,unknown,processing crystal r python,mysql oracle sql,azure,bi machine_learning etl,,,,,tableau
2815651534,unknown,,microsoft_sql_server sql,,,,,,,
2816050577,unknown,c++ java,sql oracle,aws,,,,,,
2816167153,unknown,scheme python,,linux docker kubernetes aws,chef ansible machine_learning,,,,jenkins,
2816336644,unknown,r d,,,,,,,,
2817024020,Bachelors,,,,,express,,,,
2817442371,Bachelors,processing javascript scheme,sql,,,ruby_on_rails,,,,
2819830004,unknown,d scheme jupyter r scala python,,,spark,,,,,
2819858769,unknown,,,windows,,,,,,
2820066377,unknown,ml python,,linux docker kubernetes aws,tensorflow keras hadoop pandas spark machine_learning,,,jira,jenkins,
2820352755,unknown,go perl shell python,mysql,ibm linux,hadoop,,,,jenkins,
2820711331,unknown,processing,,,,,,,,
2820943105,unknown,ml java shell r scala python,sql mongodb cassandra,aws linux,tensorflow keras spark machine_learning,,,,,
2821079304,unknown,javascript python,mysql cassandra,,,,,,,
2821450593,unknown,,sql,,,,,,,
2822307689,unknown,verilog c vhdl,,,,,,,,
2993828241,unknown,d,,,pytorch tensorflow machine_learning,,,,,
2993836343,Bachelors,d,,,,,,,,
3178860428,unknown,processing java scala,mongodb,linux docker,chef hadoop spark machine_learning,,,,jenkins,
2822505167,unknown,processing d,,,machine_learning,,,,,
2822505329,unknown,python java,mysql,gcp linux docker aws kubernetes,machine_learning,,,,,
2823229938,unknown,r d,,,,,,,,
2823353583,unknown,,,ibm docker kubernetes,react,,,,,
2823370775,unknown,go,,,,,,,,
2823529561,unknown,python javascript,,,,,,,,
2823683763,Bachelors,ruby go c c++ assembly python,,linux windows,,,,,,
2823683767,unknown,go,,windows linux,,,,,,
2823683768,unknown,go,,,,,,,,
2823866278,unknown,go ruby html python,sql mongodb redis,,,,,,,
2830096979,Masters,c,,,,,,,,
2824742819,unknown,r python,sql,,,,,,,
